Cons ID,Data Time,Active Import(kWh),Active Export(kWh),Reactive Import(kVArh),Reactive Export(kVArh),Apparent Import(kVAh),Apparent Export(kVAh),Active Power(kW),Meter ID,Hourly_Kwh
29574,2024-04-13 01:00:00,11595.032,27.488,3443.151,897.47,12095.456,897.89,0.18,10,0.1999999999989086
29574,2024-04-13 02:00:00,11595.217,27.488,3443.196,897.474,12095.646,897.894,0.164,10,0.1850000000013096
29574,2024-04-13 03:00:00,11595.416,27.488,3443.266,897.477,12095.856,897.897,0.177,10,0.1989999999987048
29574,2024-04-13 04:00:00,11595.624,27.488,3443.319,897.48,12096.071,897.9,0.194,10,0.2080000000005384
29574,2024-04-13 05:00:00,11595.919,27.488,3443.386,897.48,12096.373,897.9,0.285,10,0.2950000000000727
29574,2024-04-13 06:00:00,11596.152,27.51,3443.445,897.604,12096.613,898.025,0.272,10,0.2330000000001746
29574,2024-04-13 07:00:00,11596.801,27.51,3443.524,897.62,12097.257,898.041,0.62,10,0.6489999999994325
29574,2024-04-13 08:00:00,11597.865,27.51,3443.623,897.623,12098.306,898.044,1.049,10,1.0640000000003056
29574,2024-04-13 09:00:00,11598.246,27.51,3443.744,897.634,12098.705,898.055,0.344,10,0.3809999999994033
29574,2024-04-13 10:00:00,11599.444,27.51,3443.812,897.638,12099.873,898.059,1.172,10,1.19800000000032
29574,2024-04-13 11:00:00,11600.608,27.51,3443.862,897.653,12101.003,898.074,1.152,10,1.1640000000006694
29574,2024-04-13 12:00:00,11601.304,27.51,3444.031,897.653,12101.719,898.074,0.688,10,0.6959999999999127
29574,2024-04-13 13:00:00,11601.611,27.51,3444.171,897.671,12102.053,898.092,0.318,10,0.3070000000006985
29574,2024-04-13 14:00:00,11601.853,27.51,3444.305,897.694,12102.323,898.115,0.224,10,0.2419999999983701
29574,2024-04-13 15:00:00,11601.975,27.51,3444.424,897.711,12102.474,898.132,0.116,10,0.1220000000012078
29574,2024-04-13 16:00:00,11602.11,27.51,3444.509,897.73,12102.627,898.151,0.101,10,0.1350000000002182
29574,2024-04-13 17:00:00,11602.236,27.51,3444.611,897.764,12102.777,898.185,0.103,10,0.1260000000002037
29574,2024-04-13 18:00:00,11602.394,27.51,3444.758,897.801,12102.97,898.222,0.116,10,0.157999999999447
29574,2024-04-13 19:00:00,11602.695,27.51,3444.825,897.816,12103.278,898.237,0.258,10,0.3009999999994761
29574,2024-04-13 20:00:00,11602.973,27.51,3444.912,897.82,12103.569,898.241,0.221,10,0.2780000000002474
29574,2024-04-13 21:00:00,11603.248,27.51,3444.995,897.843,12103.857,898.264,0.213,10,0.2749999999996362
29574,2024-04-13 22:00:00,11603.486,27.51,3445.059,897.853,12104.103,898.274,0.202,10,0.2380000000011932
29574,2024-04-13 23:00:00,11603.804,27.51,3445.14,897.858,12104.431,898.279,0.309,10,0.3179999999993015
29574,2024-04-14 02:00:00,11604.268,27.51,3445.319,897.883,12104.927,898.304,0.142,10,0.1430000000000291
29574,2024-04-14 03:00:00,11604.429,27.51,3445.391,897.891,12105.101,898.312,0.159,10,0.1610000000000582
29574,2024-04-14 04:00:00,11604.598,27.51,3445.446,897.896,12105.279,898.317,0.14,10,0.168999999999869
29574,2024-04-14 05:00:00,11604.774,27.51,3445.528,897.898,12105.471,898.319,0.155,10,0.1759999999994761
29574,2024-04-14 06:00:00,11604.874,27.552,3445.642,897.971,12105.599,898.393,0.138,10,0.1000000000003638
29574,2024-04-14 07:00:00,11605.043,27.552,3445.712,897.974,12105.781,898.396,0.144,10,0.168999999999869
29574,2024-04-14 08:00:00,11605.209,27.552,3445.772,897.985,12105.958,898.407,0.107,10,0.1660000000010768
29574,2024-04-14 09:00:00,11605.391,27.552,3445.859,897.992,12106.157,898.414,0.122,10,0.1819999999988795
29574,2024-04-14 10:00:00,11606.525,27.552,3445.917,898.004,12107.26,898.426,1.117,10,1.1340000000000146
29574,2024-04-14 11:00:00,11607.074,27.552,3445.999,898.011,12107.81,898.433,0.507,10,0.5490000000008877
29574,2024-04-14 12:00:00,11607.349,27.552,3446.09,898.017,12108.1,898.439,0.244,10,0.2749999999996362
29574,2024-04-14 13:00:00,11607.57,27.552,3446.18,898.021,12108.337,898.443,0.195,10,0.2209999999995489
29574,2024-04-14 14:00:00,11607.923,27.552,3446.266,898.023,12108.7,898.445,0.34,10,0.353000000000975
29574,2024-04-14 15:00:00,11608.082,27.552,3446.343,898.028,12108.874,898.45,0.141,10,0.1589999999996507
29574,2024-04-14 16:00:00,11608.251,27.552,3446.409,898.03,12109.055,898.452,0.143,10,0.168999999999869
29574,2024-04-14 17:00:00,11608.525,27.552,3446.516,898.037,12109.348,898.459,0.211,10,0.2739999999994325
29574,2024-04-14 18:00:00,11608.817,27.552,3446.621,898.039,12109.658,898.461,0.262,10,0.2919999999994616
29574,2024-04-14 19:00:00,11609.49,27.552,3446.833,898.041,12110.363,898.463,0.662,10,0.6730000000006839
29574,2024-04-14 20:00:00,11610.727,27.552,3446.937,898.059,12111.579,898.481,1.221,10,1.2370000000009895
29574,2024-04-14 21:00:00,11610.908,27.552,3447.002,898.061,12111.771,898.483,0.351,10,0.1809999999986757
29574,2024-04-15 03:00:00,11612.08,27.552,3447.509,898.082,12113.039,898.504,0.141,10,0.1730000000006839
29574,2024-04-15 04:00:00,11612.228,27.552,3447.576,898.085,12113.2,898.507,0.12,10,0.1479999999992287
29574,2024-04-15 05:00:00,11612.394,27.552,3447.659,898.085,12113.382,898.507,0.135,10,0.1660000000010768
29574,2024-04-15 06:00:00,11612.699,27.552,3447.719,898.086,12113.692,898.508,0.302,10,0.305000000000291
29574,2024-04-15 07:00:00,11612.861,27.552,3447.795,898.089,12113.869,898.511,0.117,10,0.1620000000002619
29574,2024-04-15 08:00:00,11613.721,27.552,3447.879,898.094,12114.717,898.516,0.846,10,0.8599999999987631
29574,2024-04-15 09:00:00,11614.023,27.552,3447.953,898.1,12115.028,898.522,0.237,10,0.3019999999996798
29574,2024-04-15 10:00:00,11614.216,27.552,3448.037,898.107,12115.237,898.529,0.14,10,0.1930000000011205
29574,2024-04-15 11:00:00,11614.506,27.552,3448.197,898.107,12115.56,898.529,0.246,10,0.2899999999990541
29574,2024-04-15 12:00:00,11614.875,27.552,3448.344,898.11,12115.956,898.532,0.343,10,0.3690000000005966
29574,2024-04-15 13:00:00,11615.313,27.552,3448.568,898.113,12116.439,898.535,0.415,10,0.4380000000001018
29574,2024-04-15 14:00:00,11615.63,27.552,3448.715,898.134,12116.785,898.556,0.297,10,0.3169999999990978
29574,2024-04-15 15:00:00,11615.799,27.552,3448.804,898.138,12116.973,898.56,0.137,10,0.169000000001688
29574,2024-04-15 16:00:00,11616.0,27.552,3448.886,898.144,12117.189,898.566,0.179,10,0.2009999999991123
29574,2024-04-15 17:00:00,11616.221,27.552,3448.973,898.148,12117.425,898.57,0.173,10,0.2209999999995489
29574,2024-04-15 18:00:00,11616.529,27.552,3449.043,898.154,12117.74,898.576,0.255,10,0.3080000000009022
29574,2024-04-15 19:00:00,11616.814,27.552,3449.102,898.167,12118.03,898.589,0.221,10,0.2849999999998545
29574,2024-04-15 20:00:00,11617.125,27.552,3449.174,898.172,12118.349,898.594,0.271,10,0.3109999999996944
29574,2024-04-15 21:00:00,11617.444,27.552,3449.258,898.188,12118.679,898.61,0.287,10,0.3189999999995052
29574,2024-04-15 22:00:00,11617.685,27.552,3449.328,898.201,12118.93,898.623,0.219,10,0.2409999999999854
29574,2024-04-15 23:00:00,11617.851,27.552,3449.414,898.202,12119.113,898.624,0.142,10,0.1660000000010768
29574,2024-04-16 00:00:00,11617.993,27.552,3449.491,898.206,12119.271,898.628,0.118,10,0.1419999999998253
29574,2024-04-16 01:00:00,11618.147,27.552,3449.557,898.21,12119.438,898.632,0.133,10,0.1540000000004511
29574,2024-04-16 02:00:00,11618.294,27.552,3449.65,898.211,12119.605,898.633,0.11,10,0.146999999999025
29574,2024-04-16 03:00:00,11618.426,27.552,3449.731,898.213,12119.755,898.635,0.094,10,0.1319999999996071
29574,2024-04-16 04:00:00,11618.551,27.552,3449.813,898.215,12119.898,898.637,0.092,10,0.125
29574,2024-04-16 05:00:00,11618.68,27.552,3449.907,898.218,12120.048,898.64,0.099,10,0.1290000000008149
29574,2024-04-16 06:00:00,11620.155,27.552,3449.972,898.221,12121.481,898.643,1.491,10,1.4750000000003638
29574,2024-04-16 07:00:00,11621.267,27.552,3450.058,898.23,12122.571,898.652,1.093,10,1.1119999999991703
29574,2024-04-16 08:00:00,11621.408,27.552,3450.13,898.235,12122.727,898.657,0.102,10,0.1409999999996216
29574,2024-04-16 09:00:00,11621.571,27.552,3450.188,898.249,12122.9,898.671,0.105,10,0.1630000000004656
29574,2024-04-16 10:00:00,11622.117,27.552,3450.32,898.252,12123.461,898.674,0.531,10,0.5460000000002765
29574,2024-04-16 11:00:00,11622.256,27.552,3450.419,898.262,12123.622,898.684,0.093,10,0.1389999999992142
29574,2024-04-16 12:00:00,11622.364,27.552,3450.481,898.269,12123.743,898.691,0.08,10,0.1080000000001746
29574,2024-04-16 13:00:00,11622.461,27.552,3450.547,898.28,12123.855,898.702,0.084,10,0.0969999999997526
29574,2024-04-16 14:00:00,11622.569,27.552,3450.626,898.286,12123.981,898.708,0.09,10,0.1080000000001746
29574,2024-04-16 15:00:00,11622.681,27.552,3450.697,898.294,12124.109,898.716,0.08,10,0.1120000000009895
29574,2024-04-16 21:00:00,11623.892,27.552,3451.241,898.333,12125.424,898.755,0.169,10,0.2049999999999272
29574,2024-04-16 22:00:00,11624.239,27.552,3451.32,898.337,12125.78,898.759,0.313,10,0.3469999999997526
29574,2024-04-16 23:00:00,11624.49,27.552,3451.453,898.34,12126.058,898.762,0.219,10,0.2510000000002037
29574,2024-04-17 00:00:00,11624.662,27.552,3451.552,898.341,12126.251,898.763,0.138,10,0.1720000000004802
